Starting training from scratch.
Initializing distributed: GLOBAL_RANK: 1, MEMBER: 2/2
LOCAL_RANK: 1 - CUDA_VISIBLE_DEVICES: [0,1]
{'spatial_loss': tensor(308.5255, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7905, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(-0.0043, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(513.3159, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(308.4384, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.6967, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(-0.0040, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(513.1351, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(306.3570, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8068, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0027, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(511.1638, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(305.6624, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7784, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0050, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(510.4407, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(303.8265, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7939, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0110, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(508.6204, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(302.6826, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8597, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0147, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(507.5422, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(301.9461, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7383, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0171, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(506.6844, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(301.9706, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7410, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0170, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(506.7116, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(299.7223, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7432, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0243, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(504.4655, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(300.5270, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7597, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0217, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(505.2866, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(299.1216, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7158, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0263, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(503.8373, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(299.0716, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7330, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0265, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(503.8046, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(297.9540, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7561, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0301, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(502.7101, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(295.5968, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8106, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0378, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(500.4073, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(293.6291, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7141, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0442, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(498.3432, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(291.8791, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7645, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0499, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(496.6436, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(289.1420, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7043, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0588, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(493.8463, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(288.7383, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7189, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0601, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(493.4572, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(287.0778, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7247, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0655, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(491.8026, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(283.4937, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.6805, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0772, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(488.1742, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(281.9738, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.6398, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0821, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(486.6135, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(281.7969, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.6385, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0827, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(486.4354, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(281.8782, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5630, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0824, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(486.4412, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(280.4409, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5103, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0871, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(484.9512, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(277.9196, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.4548, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0953, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(482.3745, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(276.6646, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.4288, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0994, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(481.0933, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(275.8475, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.3994, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1021, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(480.2469, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(274.2958, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.2688, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1071, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(478.5646, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(271.6049, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.3238, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1159, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(475.9287, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(271.1570, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.1178, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1173, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(475.2748, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(272.2612, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.0206, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1137, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(476.2818, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(270.0530, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.9612, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1209, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(474.0142, device='cuda:1', grad_fn=<AddBackward0>)}
